In ce an s-a nascut George Bacovia?,1910,1850,1881,1900,A,George Bacovia se naste pe 17 septembrie 1881 la Bacau.
In ce revista debuteaza George Bacovia?, Sburatorul, Convorbiri literare, Literatorul, Dacia literara,A,George Bacovia debuteaza Ón anul 1899 Ón revista lui Alexandru Macedonski Literatorulacolo unde se va sincroniza cu modalita_ile lirice universale.
Ce specii literare abordeaza Bacovia?, romantism, simbolism, expresionism, naturalism,A,Desi simbolismul se consuma Ón literatura europeana pana Ón 1915 o data cu Bacovia areloc si apogeul dar si declinul simbolismului romanesc. Declinul simbolismului este marcatde cel mai valoros poet simbolist ale carui poezii prezinta si accente expresionisteexprimate Ónsa prin material simbolist. Astfel ca desi crea_ia sa valorifica materiale esteticesimboliste discursul sau liric este strabatut de un fior expresionist.
Unde apare pentru prima data simbolismul?, Romania, Anglia, Germania, Fran_a,A,Simbolismul apare Ón Fran_a o _ara unde la sfarsitul secolului XIX ca reac_ie laartificialitatea parnasianismului sentimentalismului dar si a realismului.
Cine a fost teoreticianul al simbolismului?, George Bacovia, Ion Minulescu, Alexandru Macedonski, Stefan Petica,A,Alexandru Macedonski a fost poetul de tranzi_ie Óntre romantism si simbolism curent pe carel-a teoretizat atat Ón literatura romana cat si Ón cea europeana.
Odata cu simbolismul Ón ce categorie se poate considera ca intra poezia romaneasca?, poporanism, suprarealism, tradi_ionalism, modernism,A,Matei Calinescu considera ca o data cu poezia simbolista literatura romana se apropie demodernism printr-o noua viziune poetica un nou tip de sensibilitate dar si prin trecerea dela un limbaj tranzitiv la unul aluziv. Asadar Bacovia
Care dintre variante sunt specifice simbolismului?, Coresponden_a, Dialogul, Sugestia, Instrumentalismul,A,‘n lirica simbolista apar tehnici noi de exprimare a sentimentelor. Coresponden_a are caobiect o rela_ie simbolica Óntre simboluri si sentimente. Sugestia are rolul de a transmiteimaginea unui obiect sentiment fara a-l numi iar instrumentalismul consta Ón folosireasunetelor ca reprezentante ale sentimentelor omenesti.
Ce reprezinta versul refren?, o metoda de umplere a spa_iului, o inova_ie epica, o inova_ie prozodica, o metoda rapida de memorare,A,Versul refren consta Ón repetare la distan_e aproximativ simetrice a unui vers. Acest lucrureprezinta o inova_ie la nivel prozodic specifica poeziei simboliste.
Asocierile de vocale sau consoane valorificarea semantica si sonora a cuvintelor dar si versul refren au rolul de a redaƒ, Coresponden_a, Muzicalitatea, Tema, Viziunea,A,Muzicalitatea reprezinta o alta trasatura surprinzatoare a simbolismului. Astfel ca asocierilede vocale sau consoane valorificarea semantica si sonora a cuvintelor dar si versul refrenau rolul de a reda aceasta trasatura la nivel fonetic.
Prin intermediul lui Bacovia de ce tendin_a se rupe poezi romaneasca?, influen_a clasica, epigonismul eminescian, influen_a pasoptista, literatura religioasa,A,Perioada 1889-1916 a reprezentat o perioada de declin Ón literatura romana. Dupa moartealui Eminescu majoritatea poe_ilor (precum Alexandru Vlahu_a) sunt incapabili sadepaseasca modelul romantic. Acesta tendin_a s-a numit epigonism eminescian iar odata culirica lui Bacovia literatura romana iese din umbra modelului romantic.
Prin ce se deosebeste Bacovia de to_i ceilal_i poe_i simbolisti?, prin folosirea culorilor, prin motivul plumbului, prin condi_ia damnatului, prin motivul solitudinii,A,Din punctul de vedere al lui Ovid S. Crohmalniceanu dintre toate motivele temelesimbolurile unul singur se regaseste doar la Bacovia: plumbul. Bacovia foloseste acest metalpentru a face coresponden_a cu numeroase imagini existen_iale si stari interioare.
Cum este lumea bacoviana?, ostila, ideala, sufocanta, fericita,A,Asa cum putem observa si Ón poezia Plumb Bacovia contureaza imaginea unei lumisufocante ostile o imagine apocaliptica din care nu poate evada decat prin interiorizare.Pentru Bacovia interiorizarea Óntr-o lume proprie Ónchisa reprezinta o urmare aimposibilita_ii adaptarii Ón societatea degradata agonica dezordonata Ón disolu_ie.
Care este rezultatul imposibilita_ii comunicarii Ón poeziile bacoviene?, sinucidearea, interiorizarea, exteriorizarea, fuga,A,Lumea vazuta prin intermediul universului poetic bacovian este una sumbra Ón care fiin_apoetica se interiorizeaza se izoleaza Ón sine ca urmare a imposibilita_ii comunicarii.
Care este singura forma de evadare din universul claustrant?, nunta, fuga, plansul, moartea,A,‘n urma interiorizarii eul poetic bacovian traieste un sentiment de alienare Ón urma caruiamoartea reprezinta singura forma de evadarea din universul claustrant.
